[2023/01/19 21:03:25] - Namespace(batch_size=128, epochs=10, attack='fgsm', epsilon=0.3, alpha=0.375, attack_iters=40, lr_max=0.005, lr_type='cyclic', seed=0)
[2023/01/19 21:03:25] - Epoch 	 Time 	 LR 	 	 Train Loss 	 Train Acc
[2023/01/19 21:03:38] - 0 	     13.4 	 0.0013 	 1.8376 	     0.3305
[2023/01/19 21:03:48] - 1 	     9.8 	 0.0025 	 0.9419 	     0.6780
[2023/01/19 21:03:59] - 2 	     10.2 	 0.0037 	 0.6620 	     0.7780
[2023/01/19 21:04:09] - 3 	     10.8 	 0.0050 	 0.4551 	     0.8487
[2023/01/19 21:04:19] - 4 	     9.6 	 0.0042 	 0.3219 	     0.8941
[2023/01/19 21:04:29] - 5 	     10.1 	 0.0033 	 0.2703 	     0.9108
[2023/01/19 21:04:40] - 6 	     11.0 	 0.0025 	 0.2425 	     0.9203
[2023/01/19 21:04:51] - 7 	     10.5 	 0.0017 	 0.2233 	     0.9265
[2023/01/19 21:05:01] - 8 	     10.4 	 0.0008 	 0.2095 	     0.9317
[2023/01/19 21:05:11] - 9 	     10.3 	 0.0000 	 0.1979 	     0.9352
[2023/01/19 21:49:33] - Namespace(batch_size=128, epochs=10, attack='none', epsilon=0.3, alpha=0.375, attack_iters=40, lr_max=0.005, lr_type='cyclic', seed=0)
[2023/01/19 21:49:33] - Epoch 	 Time 	 LR 	 	 Train Loss 	 Train Acc
[2023/01/19 21:49:46] - 0 	 12.9 	 0.0013 	 0.7434 	 0.7938
[2023/01/19 21:49:56] - 1 	 10.0 	 0.0025 	 0.0930 	 0.9716
[2023/01/19 21:50:06] - 2 	 9.7 	 0.0037 	 0.0568 	 0.9827
[2023/01/19 21:50:16] - 3 	 9.8 	 0.0050 	 0.0466 	 0.9848
[2023/01/19 21:50:25] - 4 	 9.5 	 0.0042 	 0.0341 	 0.9891
[2023/01/19 21:50:35] - 5 	 9.4 	 0.0033 	 0.0242 	 0.9921
[2023/01/19 21:50:44] - 6 	 9.4 	 0.0025 	 0.0172 	 0.9945
