power,speed,rate,square_line_width
2.894774577,250,60,19555.70713
6.680062321,225,60,45189.60771
6.537193901,275,60,33726.57869
4.643389966,200,50,34317.12161
2.607437703,275,70,69176.82755
2.805759265,150,60,28666.28634
6.410633252,175,70,254215.9593
6.206589898,175,70,246464.5749
2.775495071,250,60,18991.59132
4.892741978,250,60,32491.07156
6.157480556,225,70,219234.9574
7.365033125,175,70,285771.2303
5.861010493,175,60,51512.31747
6.087140478,225,70,183594.5432
5.317346549,175,60,41928.98778
2.193257761,200,70,60655.95475
1.938125217,275,60,11793.69105
4.44180772,300,70,154722.688
4.976702418,300,70,146397.4354
5.59555633,250,60,40191.34844
6.455605473,225,60,50963.14888
6.324413541,250,60,44076.86467
7.300410623,225,70,222087.9221
5.597990439,150,60,51015.31688
5.91484536,300,70,187104.8396
2.800763398,200,50,23455.15321
7.128799334,200,70,191890.8394
7.42340776,250,50,43545.82457
4.96514736,300,60,34108.92372
1.610161995,275,70,28250.38619
6.528547765,200,50,35825.67874
5.190194776,200,70,160376.9866
5.165057723,200,60,38848.71738
2.370714898,275,70,36736.35792
5.032159002,200,50,35795.61265
3.444737455,275,60,23567.58152
5.221290344,150,70,256459.3403
4.133267975,250,60,27450.19449
3.363056356,225,60,33866.4507
2.967871957,275,60,19142.94989
3.363056356,250,60,26751.29232
3.624966642,225,70,99177.1034
2.025647399,200,60,14789.43964
3.305219551,225,60,25733.55292
7.180989156,175,60,57698.78141
7.143742982,225,70,197859.8361
6.974944412,225,70,209672.2706
5.795511924,175,60,46050.7762
6.112584198,200,50,40534.71198
2.361080848,200,50,23090.02356
3.264134593,150,60,33322.44172
3.90604309,250,60,29949.18956
4.034832675,200,60,30262.029
2.502804989,175,60,18538.34143
6.551164521,300,60,43502.94583
6.099156998,250,50,42566.19904
3.343878626,300,70,92225.03861
4.704245537,200,50,32129.17928
1.666567388,175,70,12461.55365
1.598162894,250,60,5775.328484
1.52199043,175,60,5568.834917
3.629708182,250,50,32640.86134
7.725102919,175,60,56580.61572
4.777219443,250,50,35885.35177
1.701907251,250,60,10345.41479
4.355886175,225,70,105019.2324
5.748148504,250,60,40005.70832
1.887556021,275,60,15105.23885
6.941848593,300,70,181491.9216
2.618046489,225,70,52256.45015
6.583129596,225,70,184015.1193
1.384349725,200,50,11060.86945
7.024754632,275,60,41272.33693
7.036550842,200,70,214472.1816
3.994700527,250,60,29028.21811
7.839164756,275,60,42083.47187
1.967299727,275,60,10576.48886
6.189442317,250,60,36855.88195
5.735987586,275,60,32778.87312
5.810190564,225,60,43674.65726
7.603513581,250,60,48161.4197
1.460571724,250,60,2872.715653
7.298394196,175,60,56918.4078
7.456835359,175,70,265276.1913
4.584952412,225,60,32378.82406
1.768818838,250,60,6965.578258
4.286614987,300,60,33352.75672
3.542286439,225,60,26043.79474
2.266889304,275,70,26268.79933
4.089385402,150,60,45456.55477
1.786973423,200,60,10323.4129
2.439443299,225,70,66473.41746
2.296763548,250,60,17368.07936
2.544528807,250,60,17119.11982
5.537893487,300,70,142456.1098
2.103977224,275,70,68202.4909
3.105041554,150,70,130223.1537
2.371824753,200,70,82511.6293
3.307331801,175,70,135263.6999
4.934445044,275,70,192088.1257
2.445437961,250,60,18637.24736
4.621586516,250,60,30830.4507
1.745357727,175,70,30052.47851
2.766944881,175,60,19255.90835
1.735847881,150,60,9121.732319
4.107636119,275,70,127000.8582
6.642044615,150,60,52758.78403
3.137984405,200,50,24081.63034
6.813695427,250,60,41249.64066
6.854857775,250,60,48005.26227
6.13021885,150,70,305102.7751
3.545561419,250,50,28271.31792
5.410679463,250,60,36240.7411
3.9284936,200,70,158821.6186
4.292262178,250,60,30834.59244
3.015349718,275,60,21059.36481
5.429967839,200,70,172719.897
1.466459232,175,60,4471.088138
4.760990714,225,60,40580.26107
3.069362453,300,60,24441.87549
6.772874241,275,60,33626.83252
7.133398249,200,50,42728.0443
4.80273327,150,60,42644.98214
6.632649017,175,70,268714.0293
4.909237258,300,70,124248.9384
3.115430484,250,50,29325.96789
7.729045306,225,60,41719.40789
3.54625117,275,60,18518.4491
4.714444967,225,70,159948.2723
2.701660548,225,60,11792.54632
5.973622827,225,60,40028.93
1.381520938,200,50,11336.34189
1.611279065,250,50,15265.88725
5.426428494,250,50,38008.8537
3.397034644,150,60,32538.74175
1.776790598,150,70,46202.65015
7.277257851,175,60,58281.75066
6.092568725,225,70,181286.6244
4.124427065,150,60,35208.37847
6.626982186,150,70,268644.5164
4.391851279,175,60,34429.52454
7.282250047,250,50,44893.08946
3.736146245,150,70,188199.5949
7.159905366,250,50,44926.75497
4.894413396,150,60,44698.10932
2.510593651,200,70,76468.89234
6.724695489,225,70,205660.205
6.521920833,300,60,44970.75532
7.612431976,175,60,53034.93269
1.876000932,175,70,44404.02839
4.190022449,250,60,25893.3887
3.480177205,200,50,31402.98793
6.902494501,275,70,203014.1439
6.200356827,300,70,137658.2568
7.327166526,250,60,45691.47104
7.38862185,200,70,251913.3601
2.39495488,200,50,18701.43664
1.395716517,200,50,10429.06424
4.44914802,300,70,101225.1161
5.665132327,175,60,52056.97032
7.578132479,225,60,47034.50598
2.935170871,300,60,28073.66236
7.34291051,175,60,53149.05713
5.981572744,225,70,189583.0003
7.065376062,225,60,44884.41229
5.753497358,175,70,228509.9052
7.071472425,200,50,39383.21381
3.273413038,275,70,101254.8074
3.493221654,150,70,192764.6477
6.466424651,300,60,40144.91581
5.164753102,250,60,36718.77096
6.296645532,275,70,183449.5864
6.867087458,250,50,42923.7807
3.631602426,150,70,134362.121
6.754325139,200,70,195385.4376
3.523347816,200,60,28352.64163
6.053483881,275,60,36779.33631
2.049329414,175,70,31132.32702
3.844930359,300,70,144560.9568
2.009508147,175,60,16902.60355
4.57219141,175,70,182731.4653
6.521257211,225,60,50732.57622
6.782671261,175,70,286986.4361
6.155025911,175,60,46085.18325
6.767345987,300,60,40954.62445
2.156461463,275,70,5787.459407
2.894546418,300,60,23109.65003
5.183687483,200,50,35279.87918
6.006571433,250,50,40867.57846
2.31269334,200,60,19271.43054
2.297605382,225,60,22091.70599
2.640900799,200,60,22751.17557
5.83874221,250,50,42428.37237
3.607416288,275,60,18587.66733
5.508145894,300,70,138525.8994
4.734604668,225,70,118539.2542
7.347261272,225,60,44424.62076
2.993082254,200,60,24131.36278
4.741849355,225,70,130205.2018
1.488678366,225,60,8761.239679
5.40025779,250,60,33120.34052
3.822753854,200,60,31931.24573
6.176299816,225,70,163721.3956
3.102459146,200,60,23994.33401
5.370487107,175,70,240877.9382
5.590782565,150,60,44963.50576
2.412108408,300,60,19859.19691
6.332095811,225,70,170730.5425
3.830410327,225,70,113227.6479
1.316629329,225,60,7887.439669
3.563876794,150,60,35830.93153
2.798808562,175,70,109222.5986
4.135547655,275,70,165699.531
7.863289187,250,50,46440.91224
1.896751196,150,60,10374.85856
6.219871951,225,70,178911.8635
7.725102919,200,60,52125.32836
3.324858288,225,60,30368.80315
6.810818689,300,60,39993.50594
1.918593722,275,60,10885.69734
4.831507989,300,70,140198.6868
3.677598511,225,70,86820.86883
1.76199546,175,60,8656.098872
4.407398463,150,70,214058.7839
7.141522214,175,70,301178.4716
7.813945846,175,60,57021.3442
4.150198594,200,60,31268.52381
6.910508821,300,70,203081.8797
5.806509708,200,70,142316.3668
2.159129786,200,50,19145.62439
4.733738745,300,70,140182.4198
5.751836831,275,70,174991.4472
5.53199961,175,60,49996.62688
3.602275939,150,60,33635.77738
2.185035307,300,60,20711.63561
5.363704567,200,60,40777.2874
7.568672837,225,60,48499.89819
7.816757952,200,70,240367.9143
4.845426757,175,60,44129.17288
2.761209032,225,60,22734.63743
2.184537713,225,70,41676.49628
6.777243944,200,50,39003.09824
3.504324602,175,70,114776.4126
3.631894118,200,50,31874.14099
1.839052677,150,60,17093.29156
7.505627743,200,60,49700.63288
4.367297432,275,60,29877.66343
5.556966475,175,60,39431.2348
3.313692723,225,60,20908.89813
2.779838828,225,60,26930.99366
2.581863831,300,70,69065.66006
6.077049548,250,50,38199.99184
3.652058108,300,60,29562.87766
4.780119617,175,60,44774.96757
3.276490287,175,60,28237.23604
3.22404503,200,60,23911.98876
5.70742321,275,60,33988.67378
7.470542873,275,60,36960.35953
5.193784967,175,60,47036.23326
6.739551133,200,70,224561.4416
4.872555555,275,60,35583.75599
1.719536303,175,70,12464.10164
1.856786197,225,60,4349.438163
4.69076954,225,70,151842.3807
6.575514852,150,60,51565.24361
3.90604309,200,70,88127.70025
2.03117808,275,60,6199.93844
7.783457899,275,60,40174.05176
7.839164756,300,70,228691.5043
3.014573154,150,60,20499.32844
3.180622325,250,60,20401.81562
4.057639729,200,70,167173.8972
7.351179935,300,70,206590.9203
6.083845192,275,70,227084.8517
2.280308356,200,70,23249.17126
1.475630187,250,50,13231.1667
7.314148069,200,70,257787.7622
7.995435338,175,70,302165.5989
3.6840978,200,60,30000.36195
4.42926403,200,70,157155.8544
7.726544769,200,70,205093.0703
1.843011957,300,70,8477.158929
6.173594276,200,50,40520.78822
2.447782321,175,60,25858.69736
4.288998475,275,60,30287.1556
6.551128387,150,60,61190.94234
2.068102412,150,60,17665.9717
1.622777718,200,60,6722.722002
1.831630859,150,70,28793.31748
5.132610818,175,60,43015.67794
5.454022327,150,70,215084.3708
3.012361075,150,60,29660.56904
1.40597198,200,70,16805.75666
6.259173755,250,60,44573.75279
1.962947568,275,70,5938.954882
7.508752745,175,60,53594.28816
7.185259025,250,60,48176.83898
6.910044724,300,70,206504.7496
7.824306086,250,60,49771.31675
4.08090167,200,60,30510.30554
1.592661449,175,60,4071.953569
3.189890395,250,50,28930.63235
5.933602,150,60,50892.44322
4.142813556,250,50,32748.53644
5.715630149,250,50,41324.06895
7.096882742,300,70,239963.9722
7.924819025,225,70,249142.9112
5.089896866,200,70,120616.7104
5.149953801,200,60,41100.84
4.071299053,225,60,22558.32007
2.456686807,250,60,12952.92576
5.633600233,275,60,38117.4172
7.049954254,225,70,203622.0723
3.591727432,200,50,28988.15817
6.147940709,150,60,51721.04641
1.616958512,250,50,15066.78843
5.779335297,300,60,39779.00832
3.152870141,175,70,90119.8462
3.925306473,275,60,32448.99877
5.183129725,225,70,162641.8655
