power,speed,rate,square_line_width
6.753452218,175,60,54608.00107
7.91663035,250,60,44951.60996
6.653256458,150,60,52647.31161
7.058549393,200,60,47196.77037
6.979600106,225,60,41727.7658
4.248395202,225,60,34454.7235
2.964687763,175,60,29181.33088
7.882294122,200,60,53030.34695
3.529571352,150,60,37305.43936
1.486587268,200,50,12920.71877
2.213870881,275,60,12246.80081
2.466405,275,60,20986.87049
5.058531558,225,60,38779.49864
4.079934698,200,60,35102.16783
4.355232571,275,70,149264.457
4.069118091,225,70,111426.744
2.713725973,150,70,102473.5341
4.983765175,250,50,33783.53027
7.214730836,200,60,49092.27618
5.484459187,175,60,49460.21221
6.433610894,225,70,162356.9875
2.028806511,300,60,19779.20859
3.203380803,150,60,24129.94051
6.321801967,275,70,198783.612
4.843342437,250,50,35508.82301
6.881082596,225,70,195049.234
4.074012007,250,50,34306.89955
4.82478125,275,60,35057.24452
1.803777389,250,50,17898.51067
5.523063457,175,60,47618.95274
4.451135059,200,50,31683.73069
5.206248834,200,50,37397.16334
5.116076762,150,60,45227.92962
3.7966951,175,70,145881.9742
1.278311399,175,70,1656.797486
5.389637911,275,70,204165.4202
1.7809849,300,70,9648.6228
4.869605939,150,70,260604.6683
3.866298305,175,70,143383.9283
2.648177352,275,70,35869.84418
3.631487715,200,70,142613.0738
7.904092645,225,70,221217.7112
3.545324241,200,50,27944.12997
4.16206964,300,70,143542.9501
5.776496969,200,60,44413.98938
4.359216282,300,70,107091.0225
4.224318678,175,70,168524.7713
5.726145459,175,60,44440.9745
3.131878772,225,60,23064.87437
6.825653483,250,60,41561.83872
2.063196508,300,60,19665.81854
2.661631038,275,70,71309.81842
5.408319632,200,50,35279.26773
1.698809887,250,50,14357.24643
2.048473734,175,60,17288.72089
5.323889522,225,60,35150.7987
5.227586635,200,50,38287.3001
2.874420353,150,70,147128.5562
4.233864564,200,60,34319.60609
3.22404503,275,60,22925.33164
4.366818748,225,60,35325.0517
5.191967478,150,70,229816.0116
6.962974229,175,60,53224.26401
4.640836578,250,60,35378.23356
7.34535326,175,70,280428.9602
1.723733744,250,60,8132.048421
5.888028167,250,50,39447.25353
7.726956031,250,50,46239.86728
5.10089783,175,60,38923.36811
2.682484238,175,70,92236.42375
1.547184995,200,60,7946.977629
4.395516007,150,60,39633.26399
7.624577416,200,60,51212.10814
3.519028058,150,70,135435.9103
2.581863831,175,70,62114.8753
5.2820503,200,70,179463.1573
2.080183979,175,60,14260.05596
5.628941755,225,70,162792.2832
6.302841586,150,60,51658.31589
2.866298593,275,60,19661.973
2.413288329,150,70,70805.29526
1.873584578,150,70,52943.41866
7.161569339,175,60,50525.37433
2.950399806,275,60,17483.78772
7.883549032,200,70,216843.1265
2.559125818,275,70,73154.55336
5.180113311,150,70,256477.3326
7.550938391,275,60,40040.89067
2.881660595,175,60,21429.93302
2.083859702,225,70,48876.30886
2.26611393,250,50,23388.64881
5.717477775,200,70,158084.5558
7.291350718,300,70,228239.1717
6.036243526,175,70,242742.7533
4.725990679,200,70,142733.9374
6.158933559,300,60,42048.9226
6.580641967,250,50,41534.86683
4.626766264,200,50,31706.97606
5.556254558,175,60,42617.48217
1.929549957,300,60,11786.50383
5.015590138,175,60,42009.85286
2.074806346,300,60,19849.17766
2.749471603,275,60,20568.23023
4.523124943,225,60,27918.79913
4.605163476,200,50,31819.01984
5.665132327,300,70,165867.831
5.151444752,275,70,137451.6971
4.188597525,200,60,36077.11011
2.866177186,200,60,21667.70835
2.922233143,275,60,19823.49949
3.849543048,200,60,31415.59445
4.887010164,200,60,37119.02233
1.486571085,300,70,1919.686228
6.073091492,175,60,55412.92358
3.381734756,200,50,24773.28496
4.971413802,150,70,244971.8602
1.891708878,200,60,15748.62543
4.317599848,150,70,180445.1341
1.372219041,200,50,11527.53204
6.308506148,175,60,52361.38521
2.080183979,175,70,42009.37828
6.630987328,150,60,50256.10806
2.537173517,300,70,51449.27926
6.980555128,175,60,46762.93075
4.85699565,300,60,32523.95274
4.784569877,200,70,129491.6928
7.005998672,275,60,38656.10861
3.222071334,175,60,31514.83769
2.396816556,150,60,23754.39108
3.252284973,150,60,29141.65214
4.079089446,275,60,27647.63446
4.128355446,175,60,32658.00416
2.972269922,275,60,28941.26207
5.786750229,150,70,257382.6782
7.510047442,200,70,278234.9088
3.946090408,300,60,35136.20199
3.724556758,150,60,34865.70886
3.340376081,250,50,29794.36154
5.791755156,200,50,36494.95052
5.876763108,300,60,40690.90414
2.716111142,150,70,132884.3603
3.981852661,250,50,30903.56601
3.160358932,250,50,27014.0779
6.504124185,300,70,210169.5077
6.356045969,150,60,55593.78692
3.820637674,250,60,25866.1564
3.58279721,175,60,35871.10358
6.446254746,175,70,243031.8231
2.512037843,200,50,25495.38578
7.851230902,200,60,51115.14498
3.916512105,275,60,22734.12653
5.371058976,150,60,40997.57696
5.072810353,200,70,149795.0959
6.843814478,300,70,179154.716
5.108122808,275,70,173343.8662
2.365214572,175,60,20048.04074
2.857456935,150,70,133534.1066
3.186546762,300,70,76978.84022
1.60728081,275,60,9369.847571
5.426125197,250,60,40523.65374
6.70775964,175,70,272756.7105
7.959732819,275,60,43471.21216
6.711474783,275,60,39404.3949
6.39373777,225,60,50940.24727
5.706058084,225,70,199309.5216
1.820571895,250,50,21119.92707
7.539477396,200,60,52254.4245
1.953579941,300,70,34110.0608
1.409802723,200,50,10170.52373
4.596571786,300,60,41053.25948
3.621995953,300,60,29717.49076
7.926759641,200,60,53124.81454
2.748390601,200,50,24045.52976
2.157473883,225,60,17921.1431
6.204015452,300,70,173569.4553
1.666793021,175,60,9081.385555
2.938476954,175,60,18543.33376
2.488331444,200,60,21769.05814
4.392585437,275,60,34033.49929
6.27941232,250,60,41354.83158
4.796263811,250,50,33491.8814
4.791191494,225,70,174202.5913
3.973645103,175,60,31694.86465
7.121537361,275,70,229361.265
4.752938977,275,70,128355.711
1.856329617,300,60,18614.48732
3.335047302,300,60,34126.22435
5.120852826,275,60,35655.6303
4.19063737,150,60,34449.15517
5.988100952,150,70,254858.456
2.256021386,275,70,49374.63133
3.461540321,275,60,23144.38436
6.790311355,300,70,179086.1301
3.971607669,175,60,35309.10032
5.84478369,150,70,286499.4077
1.9372605,275,70,23846.3559
2.55859752,275,60,25573.70915
2.682484238,225,60,20161.93897
2.426840625,150,70,86439.86138
4.020146769,300,70,101056.8976
2.235751664,300,70,53859.62137
3.96377107,250,60,29797.44686
7.635484225,175,70,275039.1891
2.397640576,200,50,20579.43833
4.47178616,300,60,38818.48059
6.109092221,275,60,36068.19962
3.007911973,200,70,88740.21309
2.563118384,225,70,24060.89718
5.815186402,250,60,39864.63955
6.948890301,275,70,238573.9172
3.266149861,150,70,149204.0272
4.59310281,300,60,35552.36346
2.971469109,225,60,29616.00664
7.782600257,300,70,216517.0443
5.806549923,200,50,33671.80553
4.225565128,150,70,196073.8374
6.802909831,225,70,171260.592
2.743942264,275,60,19615.94089
1.975588238,150,60,21809.99697
5.752847905,175,70,220413.9755
7.300410623,225,70,222087.9221
4.853772983,200,70,202797.9661
3.253240032,200,50,25472.83007
1.653065201,175,60,15216.93791
2.627386375,300,60,25684.13315
7.832817193,300,70,198689.5829
2.261169206,300,70,39178.59432
4.456704048,225,70,140510.3007
7.563745874,275,60,40397.59568
4.148017068,250,50,33761.04803
1.593248533,175,70,19297.12957
3.403920851,225,60,27217.35209
1.61771391,275,60,5566.781573
5.121124961,200,60,41705.93196
4.076454731,200,50,31194.73549
6.456360092,200,60,42741.02389
3.028846229,225,60,25130.06736
7.635946599,275,70,284087.6091
2.8531249,150,70,126038.9598
4.13727915,275,70,154382.5999
1.481521316,300,60,8696.691149
2.518100706,250,60,18322.38255
2.081036234,200,50,20824.75433
2.227181317,150,60,16895.62516
6.145426029,275,70,208540.7914
1.338452881,175,60,2534.002871
1.758546159,225,60,2902.728452
7.056394756,300,60,41453.7257
7.294396597,250,60,43514.89899
3.172658549,225,60,25690.11185
3.679956266,150,70,166777.9789
2.374640103,300,70,40900.49418
5.966218931,250,60,39338.25417
5.021122115,150,60,40309.70041
5.404754922,250,50,39261.07656
4.753365229,225,60,27727.487
5.92466221,275,60,34093.39197
1.948081615,250,60,10922.95642
4.735131193,300,70,165597.5963
4.370283416,275,60,25673.8881
3.901003121,275,60,21038.41961
2.756010022,150,70,83255.08261
7.016877911,300,60,43217.58098
2.770169875,250,60,17469.05971
4.828713469,175,70,193818.1018
1.411682417,275,60,9399.934364
3.067784973,150,60,32344.82848
4.255573628,250,50,34883.6324
3.938073939,250,60,26258.7074
2.537710353,300,70,73569.97377
1.810864485,200,50,17062.30838
5.700336896,250,50,41016.52996
4.797010814,150,70,254452.467
6.386542044,300,70,175319.6456
3.03852445,150,60,31871.97023
3.68016115,225,60,29767.1469
6.442167088,275,70,201158.4133
1.294967665,300,60,8392.825709
2.630714655,275,60,18270.15674
5.013569053,200,50,34638.25271
2.83224255,175,70,90203.17092
3.864414339,200,70,123479.0653
2.752489273,200,70,80779.45612
3.392767723,250,60,23365.29167
2.747078937,200,70,35781.2593
3.326282106,275,70,128575.6583
1.846227399,150,60,17573.0229
7.680680746,300,60,43300.32307
4.174764727,225,70,106841.6233
1.876044897,300,70,55064.62954
4.691272975,275,70,169655.4152
3.805097273,175,60,30676.96621
5.815525727,175,70,250546.7467
2.98829555,200,60,27447.74163
1.780993241,200,60,11557.47291
4.161242985,225,70,120705.6308
6.466152601,300,70,176300.3352
5.009507051,150,70,254405.6672
4.807923174,200,70,177976.0789
3.419172427,300,70,76772.63037
1.322569917,175,60,5374.527077
6.418591501,275,60,31849.90056
1.373245281,225,60,7296.742304
6.979484512,175,60,54830.88248
3.343838984,200,60,25512.18656
7.850370094,250,60,46556.69602
3.235784727,150,60,33281.20029
1.934601837,300,60,15560.14092
2.040900311,150,60,23431.52655
4.749494154,150,70,232606.8702
7.471548144,175,70,295666.8068
3.228893326,150,70,130342.0734
4.8767651,275,70,171968.904
1.708824828,250,50,19533.65753
5.994856904,200,60,41676.64683
2.766975373,200,50,21148.13591
3.987064895,300,60,31234.90484
4.996680122,200,70,168844.9241
4.690630042,150,60,42427.75067
4.447935061,225,60,35843.60319
7.043406744,225,60,54485.47479
7.723861394,300,70,184460.9709
4.329872264,200,60,32908.84782
5.56562443,275,60,33549.18458
7.878003672,225,70,233755.5466
4.053156314,175,70,157169.5458
3.016206644,300,60,22519.01809
6.548092677,275,60,29573.38738
5.330160018,225,70,133192.6975
2.179237493,200,70,36620.65319
6.56052384,200,50,38636.019
3.398685454,175,60,28637.56867
4.468266325,300,70,110080.8916
2.003095564,150,60,21588.04703
6.306393071,250,60,38672.83521
7.744376076,200,60,50730.66963
3.721380269,275,60,26197.30122
2.908173144,200,70,67133.9232
5.866455922,300,70,171805.8037
3.075100172,275,70,71551.97622
4.504878684,250,50,35373.56017
5.678164075,200,60,41545.06988
6.141434908,300,70,198309.8391
7.266746361,225,70,202389.5589
5.983075543,225,70,187817.1237
6.00087115,150,70,327440.631
3.19206858,175,60,28337.91076
2.492440014,200,70,74659.62448
2.999085906,150,70,157622.3451
2.459443062,300,70,58418.73891
2.890223917,300,60,30098.03931
4.67623677,150,60,44114.07659
3.459348675,275,60,25301.03707
2.020061925,250,50,19836.7087
4.714277889,275,70,180865.4211
4.418010389,200,60,34576.45389
1.521461419,175,70,16885.55516
5.207650595,200,60,39157.33555
4.059543633,300,70,127546.3232
3.303535205,175,70,111974.9584
7.277270208,275,60,40535.34647
3.591461231,275,70,108077.7145
5.263002424,175,60,43629.35138
5.711790158,150,60,40718.88234
4.1186529,300,60,33203.4954
5.725662856,275,70,191517.4203
2.47972327,175,60,14622.81826
6.759139994,250,50,42728.19934
6.459632252,225,70,185403.3173
4.204651308,200,50,32886.66241
1.33468166,200,50,11054.79352
4.149023199,200,50,31705.17817
7.957710382,300,60,48063.9267
6.287446363,300,60,47062.40073
4.169673193,275,60,26192.444
4.85175509,250,50,36650.21458
4.556782772,175,70,175173.2468
2.063837267,175,60,14453.54915
7.293521745,225,70,246959.9581
3.252905478,275,60,23566.09048
7.914552511,300,60,46696.58426
5.667077384,200,70,215627.0783
5.599622046,225,60,35191.67252
6.486634949,300,60,43429.86315
3.566842882,275,70,83576.23066
1.714825708,250,50,16405.12086
3.555831857,150,70,130524.4335
2.573608847,200,50,21949.41358
