power,speed,rate,square_line_width
4.752584582,175,60,43006.14006
4.277892215,250,50,32608.54483
2.738438675,150,60,18682.027
2.855588282,275,60,25420.39553
2.354017731,175,60,21969.3066
1.97429599,200,70,5673.406236
4.103766577,300,70,149502.3775
4.642988992,300,60,38795.36861
7.886792297,200,60,53299.00643
6.325615982,175,60,53344.35544
3.347936777,275,70,108689.6316
1.9602017,150,70,27912.72592
7.945447697,275,60,37296.63615
4.920308344,175,70,201491.6982
3.452416812,150,70,114540.7436
3.032089595,275,70,48053.34619
7.476816547,200,60,51288.68745
7.299402402,225,60,55679.85316
1.856590146,275,70,47506.19652
3.420727984,175,70,138750.8246
4.351399346,250,50,34875.8277
4.792996749,225,60,41958.30376
2.480020169,200,50,25115.35655
5.770875871,225,70,170549.8599
4.028442635,300,70,119742.2657
3.645318573,250,60,21963.92081
6.593221644,300,70,154306.3157
4.603410719,175,60,45791.28419
3.343353348,150,60,29648.63683
3.975548833,250,50,34214.33879
1.868672794,300,70,15078.87207
1.812278279,150,70,61019.63338
4.369828801,250,60,34055.30509
4.35948083,200,50,32143.26376
6.666589626,175,60,51408.89306
1.419720825,250,50,12590.23886
2.313329575,200,70,32835.27071
6.66896929,200,70,174572.1365
1.397376657,175,60,3378.368881
3.826426329,200,60,29705.83294
7.619868661,200,60,51360.20456
6.850522287,275,60,39568.86389
2.563134129,150,70,135824.6592
3.544937571,200,70,111223.6539
2.806258924,225,70,46007.76082
3.475796466,175,70,132634.8926
3.514876594,225,70,96915.44727
6.512240673,250,50,42266.66368
2.446810743,200,50,22638.63512
7.405751419,275,70,245359.0532
4.264950657,175,70,173525.4399
6.618212614,150,70,269663.1388
4.3656094,150,70,245815.4879
4.232710537,150,70,189597.1083
2.920067837,275,70,81244.44425
6.703695644,200,50,37562.44828
7.324043355,175,70,273546.851
1.661493484,200,70,6667.698078
4.75996323,225,70,134106.4532
3.407792029,250,50,30153.10258
3.956064689,200,60,31089.7506
4.467411128,150,60,40165.01836
4.952886855,150,60,40908.96452
4.489026649,225,70,118543.1194
4.494936409,175,60,38471.87554
2.108647161,300,60,23942.62659
4.754655148,175,70,187581.2186
2.108647161,300,70,58676.06111
6.966407109,200,50,41039.7253
3.764464088,200,50,27913.14207
5.137741571,300,60,36949.69536
7.282229318,250,60,48829.1618
1.444345982,200,60,7649.380703
4.861105182,250,50,37396.40866
6.008070161,175,70,231361.6865
6.765807221,300,70,169420.8863
2.370129092,175,60,15473.79211
4.829723057,200,50,33504.38581
1.848339412,150,70,57075.17223
7.094853418,200,70,186106.1905
3.020380378,275,70,49064.1341
2.148498321,175,60,22958.77058
5.081183597,200,70,170350.4234
4.712710941,150,70,235737.53
3.162608657,300,60,28345.97833
3.039019415,275,60,25356.02505
2.549272702,275,60,25422.35569
3.156670502,150,60,38932.68921
7.132404502,300,60,39980.64168
4.490569824,200,70,163806.6904
2.244631557,250,60,16561.95346
2.888116268,150,60,29258.88764
6.301782649,250,60,39023.47581
6.666589626,300,60,41477.40199
7.438926298,200,60,51661.03959
4.852111918,250,60,33298.80765
3.4850992,250,50,31558.70056
4.788734621,275,60,30358.23671
6.607454508,175,70,248406.4974
4.799156524,300,60,38236.05659
7.312436831,300,70,212204.8853
4.819839516,275,70,123274.5573
1.829714823,300,60,18822.30101
4.998520812,150,70,239241.4518
2.826694453,275,60,12555.36041
5.619316496,200,50,37063.1146
6.751592454,275,70,223659.5116
4.779377823,175,60,45176.71495
6.449488977,175,70,230253.5975
3.399663387,225,60,20674.44633
3.120951666,225,60,23325.46872
4.975902619,275,60,27029.87671
2.694416207,150,60,14211.6144
3.903906598,250,60,26067.4832
2.113645313,200,50,22479.49373
5.646912023,275,60,33064.72902
7.859007914,300,70,215339.5983
1.410911769,200,60,5142.944139
2.857294333,175,60,28219.62992
1.870198618,175,60,11532.9561
3.948832882,150,60,41365.71644
6.091954003,175,60,53530.86439
7.734494714,275,60,42391.12172
3.475796466,300,70,60302.28617
3.064554923,200,50,26690.97141
5.769813308,150,70,210759.1949
3.496898915,300,60,32554.40331
6.128382832,200,60,44228.76035
1.616958512,250,50,15066.78843
2.628386487,250,60,20540.94111
7.476816547,175,70,280941.0682
1.6227071,250,60,7822.128879
4.847249297,250,60,36624.09221
4.884554358,225,70,183422.7905
3.544709719,275,60,22267.04351
3.288378745,275,70,119500.9462
2.272210283,200,60,15521.31709
7.741512091,200,60,51156.74996
1.603586922,175,70,17425.74579
6.591899777,200,60,48097.73195
7.619868661,225,60,47175.56342
5.601925448,175,70,235149.7221
1.959938379,175,60,9826.291475
4.748048824,200,70,118520.6335
4.67821282,200,70,147050.0813
1.884515418,250,60,10266.85844
5.671101862,175,60,44914.58697
4.317814812,225,70,146664.7478
6.705405179,150,70,296663.2402
1.427846658,200,70,9247.512261
5.024385177,300,60,37795.1118
7.946528264,275,70,257512.3111
5.40755633,225,70,143949.2601
6.734675649,200,70,267281.3643
6.852210741,275,60,36469.93801
4.08933251,200,50,28504.18047
7.610025527,275,60,41548.32897
2.732339595,175,70,75447.65823
4.866096921,200,70,147498.9524
7.299402402,300,60,49581.88873
1.754273949,150,60,21205.47008
4.697900989,175,60,38481.91765
4.847289622,275,60,37517.13126
5.153552241,150,60,40995.88591
2.818924978,300,60,26314.22655
2.441804643,150,70,94494.95826
3.836476425,300,60,33479.09994
3.517749518,275,70,69896.03982
1.594974964,175,60,11205.58994
5.09630523,275,60,27947.17237
1.335558831,250,50,11906.28644
4.884554358,275,70,140011.6572
2.452574916,200,60,16918.76237
3.66187534,225,60,29664.42113
5.151354321,200,60,40843.66006
7.187551578,300,70,206023.2896
7.561042952,225,70,233692.2124
3.150903493,150,60,31143.18774
1.935019941,275,60,4574.628972
4.861435933,225,60,35383.26981
3.956064689,275,60,21009.73864
7.60217923,250,60,47809.77836
2.6757156,200,50,24436.72251
6.75020149,200,50,38854.27718
2.758337256,200,50,21154.52748
1.754273949,150,70,72595.36602
7.946528264,300,70,240929.3745
7.353145277,200,70,243446.8747
3.023515074,150,70,160394.3247
5.125053572,225,70,162237.1369
3.869526422,200,70,102464.0098
5.194456848,250,60,37592.32615
5.756470228,275,70,215504.3552
2.848653699,225,70,98616.8667
6.614798687,300,60,45767.25428
4.862558135,250,50,38692.92596
5.865260725,200,50,37505.74172
6.685020856,150,60,54138.66179
3.386452161,200,60,25555.84353
5.194456848,300,70,147560.5254
6.102917894,275,70,211646.8901
5.466318472,200,60,37789.52093
2.023393531,175,70,37509.93288
3.66187534,250,60,24520.86174
4.754655148,225,70,144948.2894
7.160578501,250,50,43094.87072
3.645318573,300,60,26858.5713
1.53573534,250,60,6921.832157
3.343697842,225,60,32069.68443
7.508143748,250,60,46516.20999
2.02162749,200,60,16858.61255
6.975276518,200,50,41919.72938
2.982684627,175,60,25389.45054
7.325257642,250,60,45932.18318
7.546214808,275,70,257397.3515
1.417365583,225,70,6191.471189
1.968534874,225,60,12663.06272
6.318051104,250,60,39914.90631
2.839538952,200,60,20707.51797
2.740164804,275,60,18419.4031
4.984760207,200,50,36020.17915
2.384808314,200,70,44072.87352
3.629684087,200,60,26116.0997
2.782056102,175,70,79546.90983
7.187551578,225,60,52144.55596
1.762065225,300,60,14363.72094
5.060898593,275,70,155254.0321
6.614798687,275,70,222979.5571
2.075007345,300,60,19051.53925
4.110632112,225,60,30518.97857
4.697900989,250,60,30119.67011
7.866458181,175,70,324174.3293
6.623858493,150,70,309397.6702
4.075671692,300,70,103649.6102
3.294656972,200,70,97350.64964
5.062188026,275,70,176247.2706
3.514876594,300,60,28397.49281
5.147925568,200,50,34353.72563
1.340016639,250,50,12635.93781
4.346784293,225,60,40440.732
3.352278738,150,60,35639.19031
3.717011394,300,70,137233.972
3.753698086,175,70,148900.9253
2.732339595,175,60,20318.36872
3.979828881,225,60,30687.19333
6.08872289,225,70,188925.0615
3.559366634,300,60,26713.2528
5.521175047,175,70,217772.1982
4.951973178,200,50,36279.94602
4.371184564,175,70,173008.0514
6.368743253,150,70,313363.6281
6.751592454,300,60,46126.91907
4.526727287,150,70,205588.0898
6.806206676,225,70,236411.4162
6.636570358,200,70,198027.115
4.030575799,200,70,192080.9246
7.821615798,175,70,291063.6267
3.785291706,200,50,29413.14603
2.070086599,200,50,16623.35449
4.535064317,300,70,140632.8925
7.728897126,200,60,52332.69484
4.809766904,175,70,191616.7816
6.939678402,200,60,48792.21895
6.765807221,225,70,219141.1811
6.441508461,150,60,54373.91692
4.858358648,150,60,47515.07642
4.117836446,300,70,121136.2425
2.312301861,300,60,18607.2745
4.81263013,200,50,30643.26583
3.23722618,200,50,28808.15789
7.89101272,225,60,50428.43065
3.020030164,275,70,124080.3652
5.735284267,225,70,183329.6288
4.541107512,175,60,39712.65315
6.936589948,250,50,45074.89311
7.187551578,275,70,260159.0814
6.765807221,300,60,40741.95193
6.691381897,175,60,49981.24099
2.403926267,150,60,25070.51064
2.576030837,250,60,22360.1064
3.175752153,175,70,131356.7217
7.741512091,275,70,264554.836
7.324043355,300,60,46108.43582
2.866208808,150,60,26243.16577
3.248312192,250,60,22667.58513
3.162608657,225,60,27522.92996
7.385570426,275,70,227207.3164
3.603538295,275,60,28650.70836
6.403778593,150,70,299896.4534
1.605807709,250,50,12094.73936
2.121832072,250,60,9598.600426
1.520210002,200,50,12025.15225
7.161540058,300,70,184840.4523
2.559665814,175,60,21147.77604
6.939678402,225,70,193018.5907
4.118500033,250,60,29927.28485
6.54106797,200,70,237173.4333
2.826694453,225,70,106683.527
2.716116026,275,60,13440.94108
3.020030164,200,70,71474.66622
7.369386417,300,60,48426.01093
5.077823166,275,70,149517.4989
7.740785538,250,60,49460.21894
5.897584119,250,50,39700.62907
7.767834092,250,50,46186.33558
3.632316169,250,50,30987.85532
4.710611538,250,60,31602.30223
2.338131253,200,60,19830.7271
3.501104953,225,70,74619.8872
3.746011925,200,50,32090.89332
1.478517483,225,70,13546.13653
1.264267602,175,70,1659.838649
4.513837284,200,50,32333.21413
2.003459085,175,60,9650.036793
5.951494774,150,70,233051.9872
5.039949324,275,70,153193.6889
5.421451311,250,60,41696.35529
1.472093178,225,60,1658.188682
3.272833432,150,70,156929.0989
6.091954003,225,70,184552.8494
5.927461787,175,70,227439.9676
1.965547435,150,70,98263.39704
4.182359779,200,50,29139.40581
1.496608365,275,60,5392.676021
3.084779438,275,60,19928.17745
3.470274959,200,70,135903.7869
2.12084767,200,60,15872.41662
7.233530451,175,70,290610.4973
5.971266918,150,70,329261.6576
1.270367288,225,60,7457.426337
3.594929611,200,50,28993.88389
3.082156545,250,50,26369.07268
5.797674922,175,70,211159.2937
1.79686351,150,70,45701.9705
2.186847942,300,60,17531.21344
4.118500033,300,70,109791.433
2.14619475,150,70,57704.76823
4.247723198,175,70,142515.8482
4.301428238,200,60,35775.61569
5.701182613,200,50,39529.8211
2.399026009,175,60,18766.79481
3.405372856,300,70,126238.8131
6.92482843,175,60,51041.71231
1.53573534,225,70,25633.19861
3.473430141,200,60,27636.63998
2.774793601,300,70,33098.91869
7.508099859,300,60,42245.89454
4.218881534,150,60,35365.35649
4.819857058,250,50,35452.34778
3.343697842,200,70,120925.3465
4.779377823,225,60,39539.45198
2.576030837,275,60,9917.708645
6.989569283,250,60,48148.25172
4.021371851,200,70,154571.2633
6.538445743,300,70,181672.7346
2.349198201,200,60,15802.38836
5.720888742,200,70,217020.2856
3.290518691,225,60,15948.19041
6.433399473,300,70,180179.9329
6.521191032,275,70,252051.6392
3.503365841,150,70,172115.2453
5.811039628,150,60,44848.99248
7.760387305,275,60,34256.29325
3.424838803,150,70,113263.4336
6.570458728,150,70,243048.0996
5.364540385,200,70,171856.0489
6.043197744,250,60,41495.81569
7.89101272,250,60,45470.71152
1.660781224,250,50,14763.23258
6.385118847,150,60,52512.16337
1.478517483,175,60,4005.919575
3.654890288,300,60,30900.35403
5.926879398,250,50,41498.96387
4.552651029,275,60,26427.13746
7.59400269,200,60,49788.87679
7.339027849,225,60,49834.9596
4.430918272,150,70,224269.9921
5.528795358,250,50,38232.49177
4.52958514,175,60,34056.73704
1.717210298,250,50,15499.30182
3.420810678,225,60,23796.42181
3.343965416,175,70,143425.3014
4.361401372,225,70,130907.446
6.778292471,200,60,44339.17459
6.794682844,300,60,39657.31988
4.021371851,175,60,34393.99848
1.272191523,225,60,1265.038672
4.754655148,300,70,138077.3848
7.487680378,200,70,160945.8165
4.171844162,200,50,28787.99112
5.772592447,250,50,40544.66682
7.728864746,225,70,213690.8029
6.844694916,300,70,226553.2443
4.912156867,275,70,148638.1084
5.08167459,300,70,105366.6301
5.350701833,175,70,240052.1071
3.684708964,150,70,170541.6728
3.713729567,300,60,26488.8201
1.653587236,200,70,3528.551272
3.981701592,175,70,160500.48
2.508552219,150,60,19262.37086
3.411870923,175,60,32560.06363
4.164496454,150,60,40936.03743
5.378547315,250,60,36411.67346
2.570967847,175,70,71222.16417
2.858746192,275,70,103168.2406
4.847289622,200,70,181263.6627
4.777668426,275,60,31072.40839
1.444345982,225,70,16112.28142
7.324043355,250,60,46541.74898
7.585264204,200,60,50443.27634
6.975718302,250,60,44107.27625
6.561144434,200,70,241499.2453
7.624387458,300,60,46116.22743
2.628168349,175,60,24235.82898
6.543660881,200,60,42842.46647
1.979238671,225,60,9033.739283
3.781060842,275,70,111182.0613
2.119837606,300,60,16283.29063
5.494765273,300,70,156192.907
7.822765754,175,60,54836.54488
2.259766615,150,60,23393.40213
1.561126358,250,60,8883.320137
3.559366634,200,70,126149.6393
6.996343788,275,70,269640.5637
6.591899777,175,60,49822.76079
7.158154377,225,60,49293.05821
7.190159014,175,60,54522.07006
2.304909892,200,60,17940.77035
2.404856263,175,70,71489.00009
6.128382832,175,70,255297.6241
4.815338182,150,70,253364.144
4.049489958,225,60,21705.75337
1.895384207,150,60,14174.07694
3.512623992,250,50,32470.51034
5.378547315,225,70,147118.9836
1.762065225,200,60,11325.97801
3.260886816,150,60,35551.44854
4.489026649,250,60,36899.74587
3.958298721,250,60,25990.94612
2.302125874,200,60,16311.78815
5.623821691,200,70,186500.7785
7.554238426,200,60,53270.48661
3.060898655,150,70,131518.6877
6.757963706,300,70,182973.1648
2.402501751,225,70,43207.66366
7.177108609,300,70,175172.9085
1.551231135,300,70,1689.934773
5.543372759,225,70,200440.6763
4.117836446,200,60,30527.325
7.290261843,200,70,257924.9979
3.717011394,175,60,34366.8674
3.039019415,300,70,81641.74449
7.151961034,300,60,50516.5608
6.110532037,150,60,53742.44066
2.58605007,200,70,94281.50664
2.014746791,200,50,18543.56888
4.866096921,225,60,40520.52031
5.674694501,275,70,164602.0697
5.311453016,150,60,46500.21278
5.44792367,275,70,219994.2539
6.006351632,250,60,39186.17363
6.953544348,175,70,256954.5375
2.825441949,175,70,100779.3292
2.571116083,150,70,108680.3487
6.691276323,275,60,34529.6664
2.839538952,275,70,56958.83086
4.880660838,275,60,25835.28094
4.825736807,250,60,33673.01831
6.368827062,275,70,218341.3726
4.795901804,200,70,200921.3843
2.982684627,300,70,82481.78383
5.85923334,300,60,38912.61718
2.401403322,200,70,77987.79751
4.586649735,300,60,35641.28853
5.824216898,200,70,159480.9122
7.476816547,200,70,246434.811
2.490975512,150,60,18941.20202
6.848883067,175,60,52714.52284
1.723229194,150,70,57497.30288
5.903442625,175,60,48667.58471
1.823245611,250,60,11733.40128
5.086386089,150,70,249031.7146
7.624387458,200,70,269418.0666
2.930446612,175,70,101376.3497
7.660619009,250,60,47832.43864
6.636570358,275,70,233024.5399
2.148705603,200,60,17519.74223
6.737073406,200,50,40159.32931
3.27605282,275,70,79652.87439
1.913897737,250,50,15937.49224
2.391830297,250,60,16807.49573
1.916597528,225,60,9273.496289
2.717042188,150,60,22577.88907
4.284496451,225,60,27439.85981
4.421050829,150,60,44325.90856
2.904533226,150,60,32973.6768
3.012411628,250,50,26987.06775
2.049430607,225,60,4981.859495
5.77713986,150,60,58123.50916
5.045671815,300,60,42852.51982
3.384527736,275,60,20526.10056
4.207127383,150,70,151545.4162
5.984520168,150,70,274556.2531
3.183279832,225,60,31602.41053
4.118500033,300,60,32104.53351
7.214799227,200,60,49291.38239
4.712876317,275,70,113418.4874
3.73261821,200,70,118930.4723
1.397376657,200,60,5185.223399
4.446692063,175,70,178768.0595
5.281160958,150,60,57045.7417
4.595727124,200,70,96539.18105
2.249626963,150,60,16673.97025
5.40755633,200,60,43581.05319
7.406349925,275,60,43740.70887
6.663357657,275,60,33339.71846
2.087002586,275,60,8137.302354
3.448786286,150,60,28748.36912
1.870198618,275,70,38193.408
5.024385177,175,70,211157.094
7.205252197,300,60,46753.128
3.956064689,250,60,26923.58751
3.156271526,200,50,26585.78748
3.674113695,200,60,31070.57235
7.660619009,225,70,209903.0179
7.149854697,175,60,57308.15742
4.833985768,200,50,31486.36714
6.288303177,200,60,47124.18649
4.0866724,300,70,140339.4396
4.293495052,200,70,199526.6288
2.926627375,200,60,22689.09452
3.405653076,200,70,89708.18244
4.589431142,250,50,35437.53897
2.825441949,225,70,74968.64319
3.901062262,275,60,28883.73561
2.547757889,200,60,19019.61495
4.498290514,225,70,135273.937
2.460496538,250,60,18098.09463
2.370129092,300,60,18585.45222
6.844694916,225,70,215792.9426
2.549272702,225,70,38095.36574
7.581411576,200,70,170509.2985
3.296685311,150,60,36925.05957
3.36375656,225,70,77836.38279
5.847738188,175,60,51711.65387
5.071679532,225,70,189976.8882
7.555113009,250,50,45676.64985
4.679133486,200,70,201890.4043
6.006351632,275,70,198410.646
5.787511215,150,70,260838.8788
4.039667291,200,50,28186.39089
4.021371851,275,70,126275.5604
4.158809601,275,60,27743.33424
5.466318472,300,60,36553.38922
7.330260756,250,50,44351.97994
3.713729567,275,70,81423.23968
5.215072891,175,60,41401.61017
5.427125318,300,70,145095.1514
4.665297373,275,60,34652.84417
1.508917391,175,70,3509.724081
7.721096726,275,60,45263.98108
6.691381897,275,70,187250.7256
3.178279278,225,70,113730.6906
2.180476611,150,60,20515.09156
1.398583697,275,60,6584.876268
7.444270421,275,60,43242.69404
4.222394437,250,50,35649.26588
1.857017753,200,60,12604.08154
4.969282728,225,60,42199.57394
5.613494151,275,70,184562.5113
1.418729925,225,70,19536.58027
7.160423017,200,50,40642.90619
7.46030823,300,60,50389.71305
1.642199951,200,50,11973.2391
7.546214808,300,70,224248.9357
3.066142287,150,60,25988.94305
3.979828881,200,60,28508.09081
4.244066518,150,60,41227.24484
6.939678402,300,70,189789.4216
2.818924978,200,60,23880.69343
3.673193515,300,60,29108.26753
5.842550905,225,60,41572.71237
2.384808314,300,60,22779.69772
4.75759155,200,50,33395.62121
3.492219926,300,60,23894.86066
3.631353184,175,60,30873.3536
1.752658159,300,70,16474.01909
2.684458699,150,60,25212.37482
4.541107512,175,70,180404.9536
5.694087312,175,70,224204.503
5.529710832,200,50,34561.79183
2.398407446,250,50,23497.27217
2.478037677,250,60,14975.4743
6.607454508,200,70,175991.3611
3.276459906,300,70,94521.82403
7.610025527,300,70,181473.2231
3.308306354,275,70,101992.7828
3.158390561,175,60,32001.41402
4.41485046,300,60,31018.93344
7.935795475,225,60,47868.26077
2.760608599,200,50,23720.74042
6.783128393,250,50,42703.32979
6.22080138,225,70,177427.7657
6.362426799,150,60,51766.96078
4.848577975,300,60,35586.09541
1.846778759,300,60,11262.04054
4.186157701,275,70,130433.2761
5.827878698,200,60,42900.59076
3.629684087,200,70,63718.09666
1.418756923,225,70,2626.095217
3.357546766,250,60,24645.98142
3.411870923,275,60,25153.47108
5.674694501,250,60,37585.07447
3.608633388,200,60,30973.45687
6.672643952,200,50,36251.45141
5.120904206,225,60,41108.02335
4.006786626,150,70,149996.2634
6.612106215,225,70,203443.288
4.898272247,150,60,34231.48274
5.501841405,225,70,153616.0606
2.434398365,150,60,22404.48418
7.30448875,200,70,218930.2919
3.557882501,225,70,76263.49553
3.119389615,250,50,28858.3583
4.158809601,250,60,34911.8439
6.675380536,250,60,43073.53416
6.209643931,200,50,39545.98118
4.580719416,300,60,35578.19574
4.186157701,300,60,35260.72294
2.576030837,225,70,76038.49265
2.603123909,275,70,80980.30201
2.313329575,300,60,19275.69154
3.202167298,225,70,77199.75741
3.357583628,200,70,57572.65954
2.761541955,300,60,24412.57378
4.203822932,250,50,32235.34552
5.755048381,200,50,38774.73552
6.770566455,275,60,43950.67933
